loyalty_number,months_inactive,explicitly_cancelled,churned
100018,0,False,0
100102,0,False,0
100140,1,False,0
100214,0,False,0
100272,1,False,0
100301,0,False,0
100364,0,False,0
100380,0,False,0
100428,0,False,0
100504,10,True,1
100550,2,False,0
100585,0,False,0
100590,5,False,0
100642,1,False,0
100644,1,False,0
100646,1,False,0
100727,0,False,0
100737,1,False,0
100753,3,False,0
100816,0,False,0
100853,1,False,0
100883,0,False,0
100890,0,False,0
101018,1,False,0
101148,0,False,0
101363,0,False,0
101487,0,False,0
101515,1,False,0
101540,0,False,0
101544,0,False,0
101547,1,False,0
101581,1,False,0
101594,0,False,0
101644,0,False,0
101663,0,False,0
101664,0,False,0
101709,4,True,1
101768,0,False,0
101876,6,True,1
101895,0,False,0
101902,0,False,0
101945,0,False,0
102168,0,False,0
102184,0,False,0
102207,3,False,0
102299,1,False,0
102311,2,False,0
102376,0,False,0
102464,2,False,0
102615,2,False,0
102726,0,False,0
102730,0,False,0
102740,0,False,0
102788,0,False,0
102851,1,False,0
102877,3,False,0
102982,0,False,0
103043,0,False,0
103151,0,False,0
103217,0,False,0
103304,1,False,0
103340,2,False,0
103359,0,False,0
103362,1,False,0
103436,0,False,0
103490,0,False,0
103502,0,False,0
103536,0,False,0
103699,0,False,0
103731,1,False,0
103758,0,False,0
103823,0,False,0
103860,2,False,0
103862,0,False,0
103916,0,False,0
103969,0,False,0
103970,0,False,0
103975,0,False,0
103985,0,False,0
104103,4,False,0
104267,0,False,0
104353,0,False,0
104431,0,False,0
104541,0,False,0
104586,1,False,0
104673,0,False,0
104732,0,False,0
104849,0,False,0
104960,2,False,0
105063,1,False,0
105073,0,False,0
105074,0,False,0
105193,2,False,0
105214,1,False,0
105251,18,True,1
105335,1,False,0
105552,2,False,0
105688,1,False,0
105712,4,False,0
105789,0,False,0
105835,0,False,0
105841,0,False,0
105921,0,False,0
105932,0,False,0
105992,1,False,0
106001,0,False,0
106037,0,False,0
106038,1,False,0
106046,0,False,0
106048,0,False,0
106218,0,False,0
106397,0,False,0
106444,0,False,0
106477,0,False,0
106509,2,True,1
106592,1,False,0
106616,1,False,0
106623,0,False,0
106637,2,False,0
106689,1,False,0
106754,2,False,0
106757,0,False,0
106776,0,False,0
106838,0,False,0
106839,0,False,0
106936,1,False,0
106946,0,False,0
106964,0,False,0
106978,0,False,0
106979,2,False,0
107037,1,False,0
107067,0,False,0
107119,0,False,0
107141,0,False,0
107203,2,False,0
107212,0,False,0
107296,1,False,0
107385,0,False,0
107420,4,True,1
107461,0,False,0
107466,0,False,0
107487,0,False,0
107519,2,True,1
107571,0,False,0
107649,0,False,0
107719,0,False,0
107730,0,False,0
107835,0,False,0
107902,0,False,0
107993,1,False,0
108264,0,False,0
108346,4,True,1
108367,11,True,1
108381,0,False,0
108430,0,False,0
108440,1,False,0
108462,0,False,0
108528,1,False,0
108625,0,False,0
108666,0,False,0
108857,9,True,1
108896,12,True,1
108907,0,False,0
109022,0,False,0
109023,0,False,0
109029,1,False,0
109203,0,False,0
109399,3,False,0
109478,1,False,0
109495,0,False,0
109517,3,False,0
109552,1,False,0
109612,5,True,1
109660,0,False,0
109767,0,False,0
109840,0,False,0
109896,1,False,0
109903,0,False,0
109956,11,True,1
110001,1,False,0
110030,19,True,1
110065,0,False,0
110099,1,False,0
110142,2,True,1
110170,0,False,0
110211,12,True,1
110262,0,False,0
110296,1,False,0
110394,0,False,0
110422,1,False,0
110476,0,False,0
110678,0,False,0
110691,0,False,0
110752,0,False,0
111022,1,False,0
111034,2,False,0
111171,0,False,0
111176,4,False,0
111255,0,False,0
111286,1,False,0
111329,0,False,0
111485,0,False,0
111507,0,False,0
111573,1,False,0
111584,0,False,0
111646,13,True,1
111788,4,False,0
111899,13,True,1
111912,0,False,0
112026,0,False,0
112142,8,False,1
112226,0,False,0
112393,0,False,0
112522,0,False,0
112632,0,False,0
112661,19,True,1
112678,2,False,0
112709,0,False,0
112732,1,False,0
112733,0,False,0
112842,0,False,0
112856,0,False,0
112863,0,False,0
113040,0,False,0
113184,0,False,0
113220,1,False,0
113293,0,False,0
113316,4,True,1
113363,1,False,0
113442,1,False,0
113476,0,False,0
113529,0,False,0
113558,0,False,0
113578,20,True,1
