loyalty_number,segment_id,segment_name,recency,frequency,monetary,R_score,F_score,M_score,RFM_score
100018,4,Seasonal Travelers,0.0,46,81190.0,5,1,1,7
100102,4,Seasonal Travelers,0.0,51,68918.0,5,1,1,7
100140,4,Seasonal Travelers,1.0,47,72856.0,5,1,1,7
100214,3,Dormant Members,0.0,22,38236.0,5,2,2,9
100272,1,Frequent Redeemers,1.0,37,54997.0,5,3,3,11
100301,1,Frequent Redeemers,0.0,41,62849.0,5,3,3,11
100364,1,Frequent Redeemers,0.0,33,45955.0,5,4,4,13
100380,1,Frequent Redeemers,0.0,33,55270.0,5,4,3,12
100428,1,Frequent Redeemers,0.0,35,58281.0,5,4,3,12
100504,0,At Risk Premium,10.0,19,27837.0,4,2,2,8
100550,1,Frequent Redeemers,2.0,42,51687.0,4,3,4,11
100585,4,Seasonal Travelers,0.0,41,68112.0,5,3,1,9
100590,3,Dormant Members,5.0,20,34308.0,4,2,2,8
100642,1,Frequent Redeemers,1.0,36,53386.0,5,4,4,13
100644,1,Frequent Redeemers,1.0,29,45879.0,5,2,4,11
100646,3,Dormant Members,1.0,30,41715.0,5,4,2,11
100727,4,Seasonal Travelers,0.0,48,75593.0,5,1,1,7
100737,4,Seasonal Travelers,1.0,47,66830.0,5,1,1,7
100753,4,Seasonal Travelers,3.0,51,64171.0,4,1,3,8
100816,1,Frequent Redeemers,0.0,31,47653.0,5,4,4,13
100853,1,Frequent Redeemers,1.0,39,47403.0,5,3,4,12
100883,1,Frequent Redeemers,0.0,34,53659.0,5,4,4,13
100890,3,Dormant Members,0.0,27,39394.0,5,2,2,9
101018,4,Seasonal Travelers,1.0,41,71919.0,5,3,1,9
101148,1,Frequent Redeemers,0.0,30,47570.0,5,4,4,13
101356,2,High Value Loyalists,0.0,0,0.0,5,5,5,15
101363,1,Frequent Redeemers,0.0,31,50697.0,5,4,4,13
101487,4,Seasonal Travelers,0.0,56,72589.0,5,1,1,7
101515,1,Frequent Redeemers,1.0,29,50433.0,5,2,4,11
101540,1,Frequent Redeemers,0.0,30,49094.0,5,4,4,13
101544,1,Frequent Redeemers,0.0,40,61432.0,5,3,3,11
101547,3,Dormant Members,1.0,17,31502.0,5,2,2,9
101581,1,Frequent Redeemers,1.0,36,49542.0,5,4,4,13
101594,1,Frequent Redeemers,0.0,43,58229.0,5,3,3,11
101644,2,High Value Loyalists,0.0,2,2974.0,5,5,5,15
101663,1,Frequent Redeemers,0.0,41,60109.0,5,3,3,11
101664,3,Dormant Members,0.0,29,40987.0,5,2,2,9
101709,1,Frequent Redeemers,4.0,38,59596.0,4,3,3,10
101768,2,High Value Loyalists,0.0,1,1733.0,5,5,5,15
101876,3,Dormant Members,6.0,12,18264.0,4,5,5,14
101895,1,Frequent Redeemers,0.0,27,47305.0,5,2,4,11
101902,4,Seasonal Travelers,0.0,52,83531.0,5,1,1,7
101945,1,Frequent Redeemers,0.0,39,63004.0,5,3,3,11
102168,3,Dormant Members,0.0,25,38419.0,5,2,2,9
