loyalty_number,segment_name,churn_probability,risk_tier,recency_months,alltime_total_flights_sum,months_inactive,churned,action,channel,timing,goal,cost_usd,est_retention_lift,action_key,clv_proxy,est_roi
100018,Seasonal Travelers,0.0075073759241190315,Low Risk,0.0,46,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7919.2,157.38
100102,Seasonal Travelers,0.00048305151661645515,Low Risk,0.0,51,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2887.74,56.75
100140,Seasonal Travelers,0.005770688185978013,Low Risk,1.0,47,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2838.07,55.76
100214,Dormant Members,0.03156510381739365,Low Risk,0.0,22,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4170.57,82.41
100272,Frequent Redeemers,0.004367660918892266,Low Risk,1.0,37,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6622.05,131.44
100301,Frequent Redeemers,0.0012450356612274066,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,48356.96,966.14
100364,Frequent Redeemers,0.024541949512146735,Low Risk,0.0,33,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5143.88,101.88
100380,Frequent Redeemers,0.0008292177696781355,Low Risk,0.0,33,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2465.62,48.31
100428,Frequent Redeemers,0.000289768420711096,Low Risk,0.0,35,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,5845.43,115.91
100504,At Risk Premium,0.9468531736123247,High Risk,10.0,19,10,1,Win-Back: 50% Bonus Miles on Next 2 Flights,Email + SMS,After 3 months inactivity,Re-activate dormant customers before permanent churn,30,0.25,winback_discount,8807.61,2171.9
100550,Frequent Redeemers,0.058321244568557196,Low Risk,2.0,42,2,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7861.8,156.24
100585,Seasonal Travelers,0.0729725373719833,Low Risk,0.0,41,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,7334.33,145.69
100590,Dormant Members,0.9942205317331023,High Risk,5.0,20,5,0,High-Value Customer Dedicated Account Manager Outreach,Phone + Email,Within 24h of risk detection,Protect highest-CLV customers with white-glove service,50,0.3,clv_protection,34090.04,10177.01
100642,Frequent Redeemers,0.0010998287604432086,Low Risk,1.0,36,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4892.63,96.85
100644,Frequent Redeemers,0.0028079420254447504,Low Risk,1.0,29,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4458.11,88.16
100646,Dormant Members,0.0009467769584865482,Low Risk,1.0,30,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,2471.53,48.43
100727,Seasonal Travelers,0.00361307324900277,Low Risk,0.0,48,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3873.65,76.47
100737,Seasonal Travelers,0.004087212043374079,Low Risk,1.0,47,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,12786.67,254.73
100753,Seasonal Travelers,0.41772658651249434,Medium Risk,3.0,51,3,0,Seasonal Travel Offer (targeted destination discount),Email + App Push,4-6 weeks before typical travel season,Capture seasonal travel intent early,20,0.16,seasonal_offer,2534.31,385.49
100816,Frequent Redeemers,0.0005013935752911905,Low Risk,0.0,31,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,6273.91,124.48
100853,Frequent Redeemers,0.007647601144171775,Low Risk,1.0,39,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,10153.89,202.08
100883,Frequent Redeemers,0.0007696699628772218,Low Risk,0.0,34,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,3561.04,70.22
100890,Dormant Members,0.00029077919527242303,Low Risk,0.0,27,0,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,8007.4,159.15
101018,Seasonal Travelers,0.014393074165781219,Low Risk,1.0,41,1,0,No Immediate Action Required,Standard Newsletter,Monthly cycle,Maintain awareness,1,0.02,no_action,4392.98,86.86
