feature,mean_abs_shap
recent_earning_ratio,3.8708251796667734
alltime_total_flights_std,3.5197275331732536
avg_monthly_flights,1.9483826278986074
active_months_6m,1.76141996739518
pct_q4,1.6971331647240882
yoy_flight_growth,0.9713235231820722
active_months_3m,0.9541360265025554
pct_q2,0.8295882002016531
active_months_12m,0.7077948515537464
pct_q3,0.7001196687844609
pct_q1,0.6657307132790563
alltime_total_flights_mean,0.6142601923394162
12m_total_flights_mean,0.6006258543039701
6m_points_accumulated_mean,0.5750311675430773
6m_points_accumulated_sum,0.575031167543073
12m_total_flights_sum,0.5610002241503563
tenure_months,0.49020832666624337
6m_distance_mean,0.4835353879906693
6m_distance_sum,0.4835353879906653
6m_total_flights_sum,0.4702997206355704
6m_total_flights_mean,0.47029972063529063
alltime_points_accumulated_mean,0.4344383077977168
enrollment_year,0.4288647426332037
alltime_total_flights_sum,0.4256884164526953
alltime_total_flights_max,0.38433790470593915
seasonal_concentration,0.3799121837043396
alltime_distance_mean,0.36009681898309687
alltime_points_accumulated_sum,0.28244556693993145
alltime_distance_sum,0.25627694496314796
gender_Female,0.25432315290409235
peak_quarter,0.24468809231836744
12m_points_accumulated_mean,0.2170850775595818
alltime_distance_max,0.20986702675797037
12m_points_accumulated_sum,0.20221845455722007
alltime_distance_std,0.18557395785939
enrollment_type_Standard,0.18424982777419488
12m_distance_mean,0.18260179247662495
12m_distance_sum,0.1709329073556029
marital_status_Divorced,0.1596405154989718
points_per_flight,0.13204454087549733
loyalty_card_Star,0.12672330242857965
alltime_points_accumulated_std,0.12647199802640943
alltime_points_accumulated_max,0.10310950138305668
distance_per_flight,0.10235450114932332
loyalty_card_Aurora,0.0981798244503478
gender_Male,0.08710770078611815
clv,0.08228085452024266
province_Ontario,0.07088986066268438
enrollment_month,0.0659496133564408
loyalty_card_Nova,0.059500575905329096
province_Quebec,0.05150184590456001
active_months,0.04674138384067377
province_British Columbia,0.04452616302731011
activity_rate,0.041006919781892075
education_Doctor,0.03627153589527113
marital_status_Single,0.03161878467356306
salary,0.030969410586025484
marital_status_Married,0.02951489423653848
education_High School or Below,0.026567484695335757
province_Newfoundland,0.025684180261559
3m_total_flights_sum,0.024099376656210283
3m_total_flights_mean,0.02409937665620933
province_Nova Scotia,0.0206305010307402
province_Saskatchewan,0.019300446047097148
province_Alberta,0.01597910299298125
province_Yukon,0.012319584640270605
education_Bachelor,0.011578461174070985
province_New Brunswick,0.011471808766833227
education_College,0.011327535689393705
education_Master,0.010074003342748992
3m_distance_mean,0.010023404601394009
3m_distance_sum,0.010023404601187726
province_Manitoba,0.007345569662437703
3m_points_accumulated_sum,0.006682868490757329
3m_points_accumulated_mean,0.0066828684907572974
province_Prince Edward Island,0.002724819008481494
6m_points_redeemed_sum,0.0
6m_points_redeemed_mean,0.0
country_Canada,0.0
6m_dollar_cost_points_redeemed_sum,0.0
3m_points_redeemed_sum,0.0
3m_points_redeemed_mean,0.0
6m_dollar_cost_points_redeemed_mean,0.0
alltime_points_redeemed_sum,0.0
total_months,0.0
3m_dollar_cost_points_redeemed_sum,0.0
12m_points_redeemed_sum,0.0
12m_points_redeemed_mean,0.0
12m_dollar_cost_points_redeemed_sum,0.0
12m_dollar_cost_points_redeemed_mean,0.0
alltime_dollar_cost_points_redeemed_max,0.0
alltime_dollar_cost_points_redeemed_std,0.0
alltime_dollar_cost_points_redeemed_mean,0.0
alltime_dollar_cost_points_redeemed_sum,0.0
dollar_redemption_rate,0.0
alltime_points_redeemed_max,0.0
alltime_points_redeemed_std,0.0
points_redeemed_ratio,0.0
alltime_points_redeemed_mean,0.0
3m_dollar_cost_points_redeemed_mean,0.0
